lyrics,genre
"

Verse 1:
My faith is strong, I know that God is here
His love and grace have brought me through the years
My hope is sure, His promises remain
His Word is true, I'll never be the same

Chorus:
I'm walking in the light, I'm walking in the power
My soul is filled with joy, no more sorrow or fear
My faith is strong, I'm living in the truth
I'm praising God, He's given me new life

Verse 2:
I'm trusting in the Lord, He's my source of strength
His mercy and His grace, I'm forever blessed
He's my rock and shield, He's my hope and guide
His Word is true, I'm walking in the light

Chorus:
I'm walking in the light, I'm walking in the power
My soul is filled with joy, no more sorrow or fear
My faith is strong, I'm living in the truth
I'm praising God, He's given me new life

Bridge:
I will never be the same, I'm forever changed
My life is in His hands, I'm walking in the light

Chorus:
I'm walking in the light, I'm walking in the power
My soul is filled with joy, no more sorrow or fear
My faith is strong, I'm living in the truth
I'm praising God, He's given me new life",gospel
"

Verse 1:
I'm gonna rise up to the heavens above
I'm gonna sing a song of praise and love
Gonna shout it out for all to hear
I'm gonna give my heart and soul to the Lord above

Chorus:
He's my rock, my shield and my guide
He's the one who will always be by my side
He's the one who will never leave me alone
He's the one who will always lead me home

Verse 2:
I'm gonna trust in His holy name
I'm gonna put my faith in Him and not be ashamed
Gonna follow Him wherever He may go
Gonna give Him my all and love Him so

Chorus:
He's my rock, my shield and my guide
He's the one who will always be by my side
He's the one who will never leave me alone
He's the one who will always lead me home

Bridge:
His grace and mercy will never fail
His love will always prevail
I'm gonna stand firm and never be afraid
I'm gonna trust in Him and be saved

Chorus:
He's my rock, my shield and my guide
He's the one who will always be by my side
He's the one who will never leave me alone
He's the one who will always lead me home",gospel
"

Verse 1

I'm gonna praise the Lord with all my heart
He's the one who's been so good to me
He's the one who's been my rock and shield
He's the one who's been my everything

Chorus

He's the one who's been so faithful
He's the one who's been so kind
He's the one who's been my savior
And I'm gonna give him all my praise

Verse 2

He's the one who's been my comforter
He's the one who's been my strength each day
He's the one who's been my guiding light
He's the one who's been my way

Chorus

He's the one who's been so faithful
He's the one who's been so kind
He's the one who's been my savior
And I'm gonna give him all my praise

Bridge

I'm gonna lift my voice up high
And sing praises to the Lord
He's the one who's always been by my side
And I'm gonna give him all my praise

Chorus

He's the one who's been so faithful
He's the one who's been so kind
He's the one who's been my savior
And I'm gonna give him all my praise",gospel
"

Verse 1

Oh Lord, You are my light and my salvation
Your love is ever so strong
My heart is forever devoted to You
Your grace and mercy will never be gone

Chorus
You are the one who sets me free
You are the one who brings me peace
You are the one who makes me whole
My God, I love You with all my soul

Verse 2

Your word is a lamp unto my feet
Your truth guides me through the night
Your promises are sure and faithful
And I will follow You with all my might

Chorus
You are the one who sets me free
You are the one who brings me peace
You are the one who makes me whole
My God, I love You with all my soul

Verse 3

Your love is a river that never runs dry
Your faithfulness is everlasting
Your grace is a fountain that never runs out
Your mercy and love is never-ceasing

Chorus
You are the one who sets me free
You are the one who brings me peace
You are the one who makes me whole
My God, I love You with all my soul",gospel
"

Verse 1

I will praise the Lord with my heart and soul
He is my strength, my rock, and my goal
His love is so great, and it never fails
He's my refuge and hope, my joy and my peace

Chorus
His grace is sufficient, His mercy is sure
His love is unconditional, it will endure
He's my strength, my hope, my joy and my peace
I will praise the Lord with all that I am

Verse 2

I will trust in Him, whatever the cost
His love will never leave me, no matter the cost
He's my strength and my shield, He'll never let me fall
He will always be with me, I will never be alone

Chorus
His grace is sufficient, His mercy is sure
His love is unconditional, it will endure
He's my strength, my hope, my joy and my peace
I will praise the Lord with all that I am

Bridge

No matter the trial, no matter the pain
His love will remain, and I will remain
His grace will sustain me, I will be strong
I will praise the Lord all day long

Chorus
His grace is sufficient, His mercy is sure
His love is unconditional, it will endure
He's my strength, my hope, my joy and my peace
I will praise the Lord with all that I am",gospel
"

Verse 1

Oh Lord I'm so thankful for your grace
That's been given to me
I'm so blessed to be in your embrace
And be sheltered by your wings

Chorus

You are my rock, my hope and my shield
Your love for me is so real
Your grace and mercy are all I need
To guide me through all of life's trials

Verse 2

You are the light that guides my way
Your truth is what I seek
Your love is what I strive to obey
Your word is what I speak

Chorus

You are my rock, my hope and my shield
Your love for me is so real
Your grace and mercy are all I need
To guide me through all of life's trials

Bridge

No matter what I face, I will stand firm
Your presence is my strength, and I'm secure
Your love is greater than any fear
Your grace is enough to get me through

Chorus

You are my rock, my hope and my shield
Your love for me is so real
Your grace and mercy are all I need
To guide me through all of life's trials",gospel
"

Verse 1

I'm here to give glory to the Lord
He's been so good to me
His grace and mercy have never been ignored
My faith in Him will always be

Chorus
I will praise Him with all of my heart
I will shout His name from the rooftops
I will glorify Him every single day
My Lord, my God, my King

Verse 2

His love is so deep, it never fades away
His word is alive and it's true
He's been with me through the darkest of days
And I'm so thankful for Him too

Chorus
I will praise Him with all of my heart
I will shout His name from the rooftops
I will glorify Him every single day
My Lord, my God, my King

Bridge

He is my light, my strength, my hope
He is my refuge, my rock, my home
He is my joy, my peace, my song
He is my everything, all day long

Chorus
I will praise Him with all of my heart
I will shout His name from the rooftops
I will glorify Him every single day
My Lord, my God, my King",gospel
"

Verse 1

I lift my eyes to the Lord,
My soul and heart He will restore,
For He will never leave my side,
My hope and faith He will provide.

Chorus

He is my Savior and my King,
My life to Him I will bring,
My Lord, my God, my Rock,
My faith in Him will never stop.

Verse 2

His grace and mercy will never fail,
My soul He will never assail,
His love and kindness fill my heart,
My spirit He will never part.

Chorus

He is my Savior and my King,
My life to Him I will bring,
My Lord, my God, my Rock,
My faith in Him will never stop.

Verse 3

His word will guide me through the night,
My hope will never take flight,
His light will shine upon my face,
His grace will lead me to His grace.

Chorus

He is my Savior and my King,
My life to Him I will bring,
My Lord, my God, my Rock,
My faith in Him will never stop.",gospel
"

Verse 1:

I'm singing praises to the Lord,
I'm shouting out His name
He's always been my faithful friend,
He's never been the same

Chorus:

He's the one who gave me life,
He's the one who guides my way
He's the one who gives me strength,
He's the one who will never stray

Verse 2:

He brought me out of darkness,
He gave me hope and love
He's been my rock, my shield, my guide,
My God above all else

Chorus:

He's the one who gave me life,
He's the one who guides my way
He's the one who gives me strength,
He's the one who will never stray

Bridge:

He's my refuge and my strength,
My savior and my king
He's the one who sets me free,
And makes me want to sing

Chorus:

He's the one who gave me life,
He's the one who guides my way
He's the one who gives me strength,
He's the one who will never stray",gospel
"

Verse 1

I will lift my voice and sing,
My heart is ready to praise
My Lord, my God, my everything,
My life is filled with grace

Chorus

I will sing to You, Lord of all,
Your love and mercy evermore
Your faithfulness is never small,
Your grace is evermore

Verse 2

I will stand in awe of You,
Your power and might divine
My spirit will be ever true,
Your love will ever shine

Chorus

I will sing to You, Lord of all,
Your love and mercy evermore
Your faithfulness is never small,
Your grace is evermore

Verse 3

Your word is my strength and guide,
Your will is my desire
My faith will never be denied,
Your love will never tire

Chorus

I will sing to You, Lord of all,
Your love and mercy evermore
Your faithfulness is never small,
Your grace is evermore",gospel
"

Verse 1

God is my refuge, He's my strength and shield
He's the one I run to when I'm in need
He's the one I turn to when I'm feeling low
His love is greater than I'll ever know

Chorus
He's the one I trust, He's the one I love
He's the one who brings me peace from above
He's the one who will never leave me behind
He's the one who's always on my mind

Verse 2

He's the one who guides me on my way
He's the one who shows me the light of day
He's the one who calms my troubled soul
He's the one who makes me feel whole

Chorus
He's the one I trust, He's the one I love
He's the one who brings me peace from above
He's the one who will never leave me behind
He's the one who's always on my mind

Verse 3

He's the one who lifts me up when I'm down
He's the one who turns my sorrows around
He's the one who fills my heart with joy
He's the one who gives me strength to carry on

Chorus
He's the one I trust, He's the one I love
He's the one who brings me peace from above
He's the one who will never leave me behind
He's the one who's always on my mind",gospel
"

Verse 1

I'm gonna lift my voice and sing
Praise to the Lord who reigns within
He's the one who guides my way
With love and mercy every day

Chorus
He's the King of Kings and Lord of Lords
He's my rock and my fortress
He's the one who guides my steps
And I will trust in Him

Verse 2

He's the one who gives me strength
To stand against the enemy
He's the one who sets me free
From all of life's misery

Chorus
He's the King of Kings and Lord of Lords
He's my rock and my fortress
He's the one who guides my steps
And I will trust in Him

Verse 3

He's the one who gives me joy
In times of sorrow and despair
He's the one who gives me peace
And wipes away my every tear

Chorus
He's the King of Kings and Lord of Lords
He's my rock and my fortress
He's the one who guides my steps
And I will trust in Him",gospel
"

Verse 1:

I'm here to give thanks to the Lord,
For all that He has done,
His grace and mercy have been shown,
In the rising of the sun.

Chorus:
His love is so strong and so true,
It fills my heart with joy,
And I'm so blessed to have Him in my life,
My Lord, my God, my joy.

Verse 2:

I'm here to sing of His glory,
His faithfulness and truth,
For all the wonders He has done,
I say to Him, ""Thank you.""

Chorus:
His love is so strong and so true,
It fills my heart with joy,
And I'm so blessed to have Him in my life,
My Lord, my God, my joy.

Verse 3:

I'm here to lift up His name,
For all that He has done,
His grace and mercy have been shown,
In the rising of the sun.

Chorus:
His love is so strong and so true,
It fills my heart with joy,
And I'm so blessed to have Him in my life,
My Lord, my God, my joy.",gospel
"

Verse 1

Oh Lord, you are my strength and shield
Your grace is like a river that never runs dry
Your love is like a fire that never burns out
My faith in you will never die

Chorus

I will praise your name forevermore
Your mercy and your faithfulness endure
You are my hope and my salvation
I will worship you forevermore

Verse 2

I will trust in you no matter what comes my way
Your word is a lamp unto my feet
Your presence brings me joy and peace
Your grace is all that I need

Chorus

I will praise your name forevermore
Your mercy and your faithfulness endure
You are my hope and my salvation
I will worship you forevermore

Bridge

Your love is like a river that never runs dry
Your grace is like a fire that never burns out
Your faithfulness is forever sure
Your love for me will never die",gospel
"

Verse 1:

In the morning when I rise, I give glory to the Lord
For His mercy never fails, He's my strength and my reward
I will sing of His praises, and lift my voice to the sky
His love is eternal, and His grace will never die

Chorus:
Hallelujah, we will praise His name
He's the King of Kings, and Lord of Lords
We will shout His name, and sing His song
Hallelujah, forever He's strong

Verse 2:

When I'm feeling down and out, I just call upon His name
He's the one who gives me hope, and guides me on the way
No matter what I'm going through, I know He'll never leave
His presence is with me, and I'm never on my own

Chorus:
Hallelujah, we will praise His name
He's the King of Kings, and Lord of Lords
We will shout His name, and sing His song
Hallelujah, forever He's strong

Bridge:
He is the truth, He is the light
He is the way, He is the life
His love is strong, His love is real
He's the one who makes me feel

Chorus:
Hallelujah, we will praise His name
He's the King of Kings, and Lord of Lords
We will shout His name, and sing His song
Hallelujah, forever He's strong",gospel
"

Verse 1:

God is the one that I will always love
He's the one who guides me from above
His mercy and grace are so divine
His love for me will forever shine

Chorus:
He's the one who will never let me go
His faithfulness is all I know
His love is so strong, it's never ending
His promises to me, they are never bending

Verse 2:
I will never forget the day He saved me
He gave me a hope that I can see
His grace and mercy are so divine
His love for me will forever shine

Chorus:
He's the one who will never let me go
His faithfulness is all I know
His love is so strong, it's never ending
His promises to me, they are never bending

Bridge:
I will always trust in what He says
His love for me will never fade away
His grace and mercy are so divine
His love for me will forever shine

Chorus:
He's the one who will never let me go
His faithfulness is all I know
His love is so strong, it's never ending
His promises to me, they are never bending",gospel
"

Verse 1:
I'm gonna sing a song of love
To the Lord up above
He's the one who guides my life
My every step and stride

Chorus:
I'm gonna shout His name aloud
I'm gonna sing His praises proud
My faith is strong and I'm gonna stand
I'm gonna raise my voice and take His hand

Verse 2:
Gonna walk the path of righteousness
And never turn away
Gonna keep His Word close to my heart
And never go astray

Chorus:
I'm gonna shout His name aloud
I'm gonna sing His praises proud
My faith is strong and I'm gonna stand
I'm gonna raise my voice and take His hand

Verse 3:
Gonna open up my heart and soul
And let His love inside
Gonna give Him all my praise and thanks
And never have to hide

Chorus:
I'm gonna shout His name aloud
I'm gonna sing His praises proud
My faith is strong and I'm gonna stand
I'm gonna raise my voice and take His hand",gospel
"

Verse 1

Lord I'm standing in the shadow
Of your amazing grace
I'm humbled and I'm thankful
For your love that won't erase
Your mercy and your kindness
Are what I need today
Your presence fills my spirit
And I'm singing out this way

Chorus

Holy, Holy, Holy Lord
You are the King of Kings
Your love is so divine
My soul will forever sing

Verse 2

My faith is growing stronger
As I walk in your light
Your word is my guidance
It will never be denied
Your grace is like a river
Flowing through my life
I'm thankful for your blessings
That I receive each night

Chorus

Holy, Holy, Holy Lord
You are the King of Kings
Your love is so divine
My soul will forever sing

Bridge

Your spirit is my comfort
And I will never be alone
Your love will never fail me
You are my rock and home

Chorus

Holy, Holy, Holy Lord
You are the King of Kings
Your love is so divine
My soul will forever sing",gospel
"

Verse 1:

Oh Lord, You are my strength and my shield
Your love is ever faithful and true
Your grace is so amazing, it never fails
Your mercy will always see me through

Chorus: 
I will praise You, I will worship You
My heart will sing of Your glory and grace
Your goodness and faithfulness will never end
I will always proclaim Your holy name

Verse 2:

You are my hope, my rock and my refuge
Your word is a light that guides my way
Your presence is with me, never leaving me
Your loving kindness is here to stay

Chorus: 
I will praise You, I will worship You
My heart will sing of Your glory and grace
Your goodness and faithfulness will never end
I will always proclaim Your holy name

Bridge:

You are my hope, my joy and my peace
Your love holds me close, never letting me go
Your promises are sure, forever I will trust
Your faithfulness, Lord, I will always know",gospel
"

Verse 1

Oh Lord, You are my light and my salvation
My hope and my comfort, my joy and my strength
You are the one who guides me and leads me
I will trust in Your love and Your mercy

Chorus

I will praise You Lord with all of my heart
Your love and grace will never depart
Your faithfulness is ever so strong
Your grace and mercy will last forever long

Verse 2

In You I find peace, joy and contentment
Your love and your grace, my heart has been sent
Your word is my truth, my guide and my shield
Your love and your mercy, I will never yield

Chorus

I will praise You Lord with all of my heart
Your love and grace will never depart
Your faithfulness is ever so strong
Your grace and mercy will last forever long

Bridge

Your love is so strong, no one can break it
Your grace is so pure, no one can take it
Your mercy is so sweet, no one can deny it
Your faithfulness will never die, no one can defy it

Chorus

I will praise You Lord with all of my heart
Your love and grace will never depart
Your faithfulness is ever so strong
Your grace and mercy will last forever long",gospel
"

Verse 1:

I'm gonna raise my voice and sing,
God's love's the sweetest thing
A blessing that can never be bought or sold
I'm gonna keep on praising Him,
His grace is like a river that never ends
He's the one who can make us whole

Chorus:
Hallelujah, Hallelujah
Praise the Lord for all He's done
Hallelujah, Hallelujah
Let the music carry on

Verse 2:
I'm gonna keep on walking in faith,
God's light will show the way
A path of love that leads to peace and joy
I'm gonna keep on trusting Him,
His word will never fail us, we can depend
On His love that will never leave us alone

Chorus:
Hallelujah, Hallelujah
Praise the Lord for all He's done
Hallelujah, Hallelujah
Let the music carry on

Bridge:
He's our rock and our salvation,
A shelter in the storm
He's our hope and our redemption,
He'll never leave us alone

Chorus:
Hallelujah, Hallelujah
Praise the Lord for all He's done
Hallelujah, Hallelujah
Let the music carry on",gospel
"

Verse 1

Oh blessed Lord, You are my shield
Your love is ever so real
Your mercy and grace, they sustain me
Your power, it never fails

Chorus

Your faithfulness is my rock
Your goodness and truth will never stop
Your loving kindness guides my way
Your presence is here to stay

Verse 2

Your Word is a lamp to my feet
Your Spirit is ever so sweet
Your peace is like a river deep
Your love, it never sleeps

Chorus

Your faithfulness is my rock
Your goodness and truth will never stop
Your loving kindness guides my way
Your presence is here to stay

Verse 3

You are my fortress and my strength
Your Word is a guiding light
Your faithfulness is like a shield
Your love is so pure and bright

Chorus

Your faithfulness is my rock
Your goodness and truth will never stop
Your loving kindness guides my way
Your presence is here to stay",gospel
"

Verse 1

My soul is searching for a way
To find the light that will lead me astray
I'm looking for the truth and I'm sure I'll find
A path that will help me to define

Chorus
I'm trusting in the Lord, I'm trusting in His word
I'm trusting in the Lord, I'm trusting in His word

Verse 2
He's the one who will give me strength
To stand up and face the things that life brings
He's the one who will guide me through
And help me make the right decisions too

Chorus
I'm trusting in the Lord, I'm trusting in His word
I'm trusting in the Lord, I'm trusting in His word

Bridge
His love will never fail, His grace will never cease
His mercy and His grace will always be with me

Chorus
I'm trusting in the Lord, I'm trusting in His word
I'm trusting in the Lord, I'm trusting in His word",gospel
"

Verse 1

My spirit is lifted high
I'm filled with the Lord's grace
My heart is overflowing
With a joy that won't let go

Chorus

I'm singing praises to Jesus
I'm giving Him my all
My soul is so filled with love
I'm ready to answer His call

Verse 2

My faith is strong and sure
My hope will never die
My life is in His hands
And I'm ready to fly

Chorus

I'm singing praises to Jesus
I'm giving Him my all
My soul is so filled with love
I'm ready to answer His call

Bridge

My heart is open wide
For the Lord's mercy and grace
My soul is filled with light
As I'm running this race

Chorus

I'm singing praises to Jesus
I'm giving Him my all
My soul is so filled with love
I'm ready to answer His call",gospel
"

Verse 1:

My heart is filled with joy, my soul is full of peace
My Lord is here with me, His love will never cease
He will never leave me, He will never forsake
He's the one who guides me, and I will never break

Chorus:

My faith is strong in Him, I will never waver
His grace and mercy will always be my savior
His light will guide me, His love will never die
Forever I will praise Him, and forever I will cry

Verse 2:

My life was once in darkness, my heart was filled with pain
But when I called on Jesus, He brought me out again
He filled my heart with courage, and He gave me strength to fight
He opened up my eyes, and He showed me the light

Chorus:

My faith is strong in Him, I will never waver
His grace and mercy will always be my savior
His light will guide me, His love will never die
Forever I will praise Him, and forever I will cry

Bridge:

My faith is like a shield, it will never be broken
His love is like a river, it will always keep flowing
My hope is in His grace, and I will never turn away
My Lord is my salvation, and I will forever stay

Chorus:

My faith is strong in Him, I will never waver
His grace and mercy will always be my savior
His light will guide me, His love will never die
Forever I will praise Him, and forever I will cry",gospel
"

Verse 1

God's love is so strong and mighty
No one can deny
His grace and mercy are so divine
No one can deny

Chorus

We give Him glory, praise and honor
We give Him all the praise
We lift up His name, shout and sing
For He is worthy to be praised

Verse 2

He is our refuge and our strength
In Him we can trust
He is our shield and our defender
In Him we can trust

Chorus

We give Him glory, praise and honor
We give Him all the praise
We lift up His name, shout and sing
For He is worthy to be praised

Bridge

He is the King of kings and Lord of lords
He is the Alpha and Omega
He is the One who reigns forever
His kingdom will never end

Chorus

We give Him glory, praise and honor
We give Him all the praise
We lift up His name, shout and sing
For He is worthy to be praised",gospel
"

Verse 1

My faith is strong, I'm standing tall
My hope is sure, I won't fall
I'm trusting in the Lord above
To bring me peace and fill my love

Chorus
My God is good, He will provide
His grace and mercy by my side
My faith is strong, I'm standing tall
My hope is sure, I won't fall

Verse 2

My heart is full, I'm not afraid
My soul is blessed, I'm not dismayed
I'm trusting in the Lord above
To bring me peace and fill my love

Chorus
My God is good, He will provide
His grace and mercy by my side
My faith is strong, I'm standing tall
My hope is sure, I won't fall

Bridge

My faith is strong, my God is good
He's always there when I'm in need
My faith is strong, I'm standing tall
My hope is sure, I won't fall",gospel
"

Verse 1:

Oh Lord, I'm so thankful for all of your grace
Your mercy abounds and I'm humbled in this place
Your love is so strong and it never will cease
Your Word is a light that will never decrease

Chorus:

You are my refuge and my strength,
My rock and my salvation,
My hope and my joy,
Your mercy is everlasting,
Your love is so true,
I will praise You, Lord, forever

Verse 2:

My faith is so sure, I'm standing on Your truth
Your promises are sure and they will never be moved
Your Word is a lamp to my feet and a light to my path
Your Spirit will guide me and never leave me in wrath

Chorus:

You are my refuge and my strength,
My rock and my salvation,
My hope and my joy,
Your mercy is everlasting,
Your love is so true,
I will praise You, Lord, forever

Verse 3:

Your grace is so sweet and it carries me through
Your love is so strong and it will never be moved
Your faithfulness is sure and it will never fail
Your Word is a lamp to my feet and a light to my trail

Chorus:

You are my refuge and my strength,
My rock and my salvation,
My hope and my joy,
Your mercy is everlasting,
Your love is so true,
I will praise You, Lord, forever",gospel
"

Verse 1

In the morning when I rise
I open up my eyes
To the glory of the Lord
He's my strength and He's my guide

Chorus

My faith will never fail
My God will never leave me
I'm gonna keep on believing
In His love and mercy

Verse 2

He's my refuge and my rock
He's my shelter in the storm
He's my hope in times of fear
I will trust in Him for sure

Chorus

My faith will never fail
My God will never leave me
I'm gonna keep on believing
In His love and mercy

Bridge

He is the light that guides me
The strength that sets me free
He is my everything
And I will always believe

Chorus

My faith will never fail
My God will never leave me
I'm gonna keep on believing
In His love and mercy",gospel
